"zip","type","primary_city","state","county","latitude","longitude","population"
"00501","UNIQUE","Holtsville","NY","Suffolk County",40.81,-73.04,562
"01001","STANDARD","Agawam","MA","Hampden County",42.06,-72.61,15850
"01002","STANDARD","Amherst","MA","Hampshire County",42.37,-72.52,17951
"01005","STANDARD","Barre","MA","Worcester County",42.42,-72.1,4621
"01007","STANDARD","Belchertown","MA","Hampshire County",42.27,-72.4,14699
"01008","STANDARD","Blandford","MA","Hampden County",42.18,-72.93,1248
"01010","STANDARD","Brimfield","MA","Hampden County",42.11,-72.2,3846
"01011","STANDARD","Chester","MA","Hampden County",42.28,-72.98,1207
"01012","STANDARD","Chesterfield","MA","Hampshire County",42.4,-72.85,671
"01013","STANDARD","Chicopee","MA","Hampden County",42.17,-72.57,20403
"01020","STANDARD","Chicopee","MA","Hampden County",42.17,-72.57,28275
"01022","STANDARD","Chicopee","MA","Hampden County",42.17,-72.57,1906
"01026","STANDARD","Cummington","MA","Hampshire County",42.46,-72.9,980
"01027","STANDARD","Easthampton","MA","Hampshire County",42.26,-72.68,17427
"01028","STANDARD","East Longmeadow","MA","Hampden County",42.06,-72.51,15793
"01030","STANDARD","Feeding Hills","MA","Hampden County",42.06,-72.67,11988
"01031","STANDARD","Gilbertville","MA","Worcester County",42.35,-72.21,1070
"01032","STANDARD","Goshen","MA","Hampshire County",42.43,-72.8,552
"01033","STANDARD","Granby","MA","Hampshire County",42.26,-72.52,6378
"01034","STANDARD","Granville","MA","Hampden County",42.06,-72.86,1954
"01035","STANDARD","Hadley","MA","Hampshire County",42.35,-72.58,4785
"01036","STANDARD","Hampden","MA","Hampden County",42.06,-72.41,5273
"01038","STANDARD","Hatfield","MA","Hampshire County",42.37,-72.6,2368
"01039","STANDARD","Haydenville","MA","Hampshire County",42.39,-72.7,1346
"01040","STANDARD","Holyoke","MA","Hampden County",42.21,-72.64,33204
"01050","STANDARD","Huntington","MA","Hampshire County",42.23,-72.88,2588
"01053","STANDARD","Leeds","MA","Hampshire County",42.35,-72.71,1627
"01054","STANDARD","Leverett","MA","Franklin County",42.45,-72.5,1746
"01056","STANDARD","Ludlow","MA","Hampden County",42.16,-72.48,20037
"01057","STANDARD","Monson","MA","Hampden County",42.09,-72.31,8549
"01060","STANDARD","Northampton","MA","Hampshire County",42.32,-72.67,11489
"01062","STANDARD","Florence","MA","Hampshire County",42.32,-72.67,10635
"01063","UNIQUE","Northampton","MA","Hampshire County",42.32,-72.67,177
"01068","STANDARD","Oakham","MA","Worcester County",42.35,-72.05,2005
"01069","STANDARD","Palmer","MA","Hampden County",42.16,-72.32,8384
"01070","STANDARD","Plainfield","MA","Hampshire County",42.51,-72.91,510
"01071","STANDARD","Russell","MA","Hampden County",42.18,-72.85,1611
"01072","STANDARD","Shutesbury","MA","Franklin County",42.45,-72.4,1413
"01073","STANDARD","Southampton","MA","Hampshire County",42.23,-72.73,5937
"01075","STANDARD","South Hadley","MA","Hampshire County",42.26,-72.56,15814
"01077","STANDARD","Southwick","MA","Hampden County",42.05,-72.76,9672
"01080","STANDARD","Three Rivers","MA","Hampden County",42.18,-72.37,2219
"01081","STANDARD","Wales","MA","Hampden County",42.06,-72.21,1758
"01082","STANDARD","Ware","MA","Hampshire County",42.25,-72.24,10125
"01084","STANDARD","West Chesterfield","MA","Hampshire County",42.41,-72.87,137
"01085","STANDARD","Westfield","MA","Hampden County",42.13,-72.75,37360
"01088","STANDARD","West Hatfield","MA","Hampshire County",42.39,-72.64,555
"01089","STANDARD","West Springfield","MA","Hampden County",42.12,-72.65,26541
"01095","STANDARD","Wilbraham","MA","Hampden County",42.13,-72.43,14804
"01096","STANDARD","Williamsburg","MA","Hampshire County",42.4,-72.71,2454
"01098","STANDARD","Worthington","MA","Hampshire County",42.41,-72.93,1212
"01103","STANDARD","Springfield","MA","Hampden County",42.11,-72.53,1948
"01104","STANDARD","Springfield","MA","Hampden County",42.11,-72.53,20485
"01105","STANDARD","Springfield","MA","Hampden County",42.11,-72.53,8535
"01106","STANDARD","Longmeadow","MA","Hampden County",42.04,-72.57,16164
"01107","STANDARD","Springfield","MA","Hampden County",42.11,-72.53,8918
"01108","STANDARD","Springfield","MA","Hampden County",42.11,-72.53,21587
"01109","STANDARD","Springfield","MA","Hampden County",42.11,-72.53,23506
"01118","STANDARD","Springfield","MA","Hampden County",42.11,-72.53,13493
"01119","STANDARD","Springfield","MA","Hampden County",42.11,-72.53,11798
"01128","STANDARD","Springfield","MA","Hampden County",42.11,-72.53,2833
"01129","STANDARD","Springfield","MA","Hampden County",42.11,-72.53,6971
"01151","STANDARD","Indian Orchard","MA","Hampden County",42.15,-72.51,7616
"01201","STANDARD","Pittsfield","MA","Berkshire County",42.45,-73.26,41546
"01220","STANDARD","Adams","MA","Berkshire County",42.62,-73.11,8374
"01222","STANDARD","Ashley Falls","MA","Berkshire County",42.05,-73.33,804
"01223","STANDARD","Becket","MA","Berkshire County",42.33,-73.07,2178
"01224","STANDARD","Berkshire","MA","Berkshire County",42.51,-73.19,183
"01225","STANDARD","Cheshire","MA","Berkshire County",42.55,-73.15,3335
"01226","STANDARD","Dalton","MA","Berkshire County",42.47,-73.16,6520
"01230","STANDARD","Great Barrington","MA","Berkshire County",42.19,-73.35,6440
"01235","STANDARD","Hinsdale","MA","Berkshire County",42.42,-73.07,2751
"01236","STANDARD","Housatonic","MA","Berkshire County",42.25,-73.36,1683
"01237","STANDARD","Lanesboro","MA","Berkshire County",42.51,-73.22,2916
"01238","STANDARD","Lee","MA","Berkshire County",42.3,-73.25,5577
"01240","STANDARD","Lenox","MA","Berkshire County",42.35,-73.28,4468
"01245","STANDARD","Monterey","MA","Berkshire County",42.18,-73.21,751
"01247","STANDARD","North Adams","MA","Berkshire County",42.68,-73.11,14447
"01253","STANDARD","Otis","MA","Berkshire County",42.19,-73.07,787
"01254","STANDARD","Richmond","MA","Berkshire County",42.37,-73.36,1153
"01255","STANDARD","Sandisfield","MA","Berkshire County",42.11,-73.13,670
"01256","STANDARD","Savoy","MA","Berkshire County",42.56,-73.02,673
"01257","STANDARD","Sheffield","MA","Berkshire County",42.1,-73.34,2276
"01258","STANDARD","South Egremont","MA","Berkshire County",42.16,-73.41,623
"01259","STANDARD","Southfield","MA","Berkshire County",42.07,-73.23,459
"01266","STANDARD","West Stockbridge","MA","Berkshire County",42.31,-73.39,1320
"01267","STANDARD","Williamstown","MA","Berkshire County",42.7,-73.2,6015
"01270","STANDARD","Windsor","MA","Berkshire County",42.51,-73.04,767
"01301","STANDARD","Greenfield","MA","Franklin County",42.58,-72.59,15704
"01330","STANDARD","Ashfield","MA","Franklin County",42.53,-72.78,1485
"01331","STANDARD","Athol","MA","Worcester County",42.59,-72.23,12939
"01337","STANDARD","Bernardston","MA","Franklin County",42.66,-72.55,2695
"01338","STANDARD","Buckland","MA","Franklin County",42.6,-72.78,220
"01339","STANDARD","Charlemont","MA","Franklin County",42.63,-72.88,1422
"01340","STANDARD","Colrain","MA","Franklin County",42.66,-72.68,1823
"01341","STANDARD","Conway","MA","Franklin County",42.51,-72.68,1646
"01342","STANDARD","Deerfield","MA","Franklin County",42.55,-72.6,1387
"01343","STANDARD","Drury","MA","Berkshire County",42.68,-72.98,153
"01344","STANDARD","Erving","MA","Franklin County",42.6,-72.4,1537
"01346","STANDARD","Heath","MA","Franklin County",42.66,-72.83,349
"01349","STANDARD","Millers Falls","MA","Franklin County",42.59,-72.55,810
"01351","STANDARD","Montague","MA","Franklin County",42.53,-72.53,2178
"01354","STANDARD","Gill","MA","Franklin County",42.7,-72.43,1452
"01355","STANDARD","New Salem","MA","Franklin County",42.5,-72.33,908
"01360","STANDARD","Northfield","MA","Franklin County",42.7,-72.43,2966
"01364","STANDARD","Orange","MA","Franklin County",42.59,-72.3,7637
"01366","STANDARD","Petersham","MA","Worcester County",42.48,-72.18,1253
"01367","STANDARD","Rowe","MA","Franklin County",42.7,-72.9,535
"01368","STANDARD","Royalston","MA","Worcester County",42.68,-72.18,1243
"01370","STANDARD","Shelburne Falls","MA","Franklin County",42.6,-72.74,3836
"01373","STANDARD","South Deerfield","MA","Franklin County",42.47,-72.59,4470
"01375","STANDARD","Sunderland","MA","Franklin County",42.46,-72.58,3082
"01376","STANDARD","Turners Falls","MA","Franklin County",42.59,-72.55,4835
"01378","STANDARD","Warwick","MA","Franklin County",42.68,-72.33,696
"01379","STANDARD","Wendell","MA","Franklin County",42.55,-72.4,704
"01380","STANDARD","Wendell Depot","MA","Franklin County",42.58,-72.37,81
"01420","STANDARD","Fitchburg","MA","Worcester County",42.58,-71.81,35095
"01430","STANDARD","Ashburnham","MA","Worcester County",42.63,-71.9,6141
"01431","STANDARD","Ashby","MA","Middlesex County",42.68,-71.81,3194
"01432","STANDARD","Ayer","MA","Middlesex County",42.56,-71.58,6731
"01434","STANDARD","Devens","MA","Worcester County",42.53,-71.61,332
"01436","STANDARD","Baldwinville","MA","Worcester County",42.6,-72.07,3098
"01440","STANDARD","Gardner","MA","Worcester County",42.58,-71.98,18455
"01450","STANDARD","Groton","MA","Middlesex County",42.6,-71.57,10406
"01451","STANDARD","Harvard","MA","Worcester County",42.5,-71.58,5163
"01452","STANDARD","Hubbardston","MA","Worcester County",42.48,-72.01,4561
"01453","STANDARD","Leominster","MA","Worcester County",42.51,-71.77,39487
"01460","STANDARD","Littleton","MA","Middlesex County",42.53,-71.47,9035
"01462","STANDARD","Lunenburg","MA","Worcester County",42.59,-71.72,10261
"01463","STANDARD","Pepperell","MA","Middlesex County",42.66,-71.58,11604
"01464","STANDARD","Shirley","MA","Middlesex County",42.54,-71.65,5791
"01468","STANDARD","Templeton","MA","Worcester County",42.55,-72.06,4049
"01469","STANDARD","Townsend","MA","Middlesex County",42.66,-71.7,7077
"01473","STANDARD","Westminster","MA","Worcester County",42.55,-71.9,7600
"01474","STANDARD","West Townsend","MA","Middlesex County",42.66,-71.74,2130
"01475","STANDARD","Winchendon","MA","Worcester County",42.68,-72.04,9500
"01501","STANDARD","Auburn","MA","Worcester County",42.2,-71.83,16153
"01503","STANDARD","Berlin","MA","Worcester County",42.38,-71.63,2698
"01504","STANDARD","Blackstone","MA","Worcester County",42.01,-71.5,8899
"01505","STANDARD","Boylston","MA","Worcester County",42.35,-71.73,4490
"01506","STANDARD","Brookfield","MA","Worcester County",42.21,-72.1,3324
"01507","STANDARD","Charlton","MA","Worcester County",42.13,-71.96,12188
"01510","STANDARD","Clinton","MA","Worcester County",42.41,-71.68,13244
"01515","STANDARD","East Brookfield","MA","Worcester County",42.22,-72.04,2208
"01516","STANDARD","Douglas","MA","Worcester County",42.05,-71.73,8672
"01518","STANDARD","Fiskdale","MA","Worcester County",42.12,-72.11,3096
"01519","STANDARD","Grafton","MA","Worcester County",42.2,-71.68,6838
"01520","STANDARD","Holden","MA","Worcester County",42.35,-71.85,14454
"01521","STANDARD","Holland","MA","Hampden County",42.05,-72.15,2327
"01522","STANDARD","Jefferson","MA","Worcester County",42.38,-71.87,3351
"01523","STANDARD","Lancaster","MA","Worcester County",42.45,-71.66,5456
"01524","STANDARD","Leicester","MA","Worcester County",42.25,-71.9,6563
"01527","STANDARD","Millbury","MA","Worcester County",42.19,-71.76,12974
"01529","STANDARD","Millville","MA","Worcester County",42.03,-71.58,3213
"01531","STANDARD","New Braintree","MA","Worcester County",42.31,-72.13,990
"01532","STANDARD","Northborough","MA","Worcester County",42.31,-71.64,14667
"01534","STANDARD","Northbridge","MA","Worcester County",42.15,-71.65,5668
"01535","STANDARD","North Brookfield","MA","Worcester County",42.27,-72.08,4517
"01536","STANDARD","North Grafton","MA","Worcester County",42.23,-71.69,6607
"01537","STANDARD","North Oxford","MA","Worcester County",42.16,-71.88,2171
"01540","STANDARD","Oxford","MA","Worcester County",42.11,-71.87,11180
"01541","STANDARD","Princeton","MA","Worcester County",42.45,-71.86,3626
"01542","STANDARD","Rochdale","MA","Worcester County",42.2,-71.9,2238
"01543","STANDARD","Rutland","MA","Worcester County",42.36,-71.95,7999
"01545","STANDARD","Shrewsbury","MA","Worcester County",42.3,-71.71,34855
"01550","STANDARD","Southbridge","MA","Worcester County",42.08,-72.03,16354
"01560","STANDARD","South Grafton","MA","Worcester County",42.17,-71.68,4201
"01562","STANDARD","Spencer","MA","Worcester County",42.24,-71.99,11364
"01564","STANDARD","Sterling","MA","Worcester County",42.43,-71.75,8050
"01566","STANDARD","Sturbridge","MA","Worcester County",42.09,-72.06,6843
"01568","STANDARD","Upton","MA","Worcester County",42.17,-71.61,7388
"01569","STANDARD","Uxbridge","MA","Worcester County",42.08,-71.6,12799
"01570","STANDARD","Webster","MA","Worcester County",42.04,-71.87,15948
"01571","STANDARD","Dudley","MA","Worcester County",42.05,-71.93,10423
"01581","STANDARD","Westborough","MA","Worcester County",42.26,-71.61,18692
"01583","STANDARD","West Boylston","MA","Worcester County",42.36,-71.78,6641
"01585","STANDARD","West Brookfield","MA","Worcester County",42.23,-72.14,4140
"01588","STANDARD","Whitinsville","MA","Worcester County",42.11,-71.67,8985
"01590","STANDARD","Sutton","MA","Worcester County",42.15,-71.76,8732
"01602","STANDARD","Worcester","MA","Worcester County",42.26,-71.8,20999
"01603","STANDARD","Worcester","MA","Worcester County",42.26,-71.8,17586
"01604","STANDARD","Worcester","MA","Worcester County",42.26,-71.8,30452
"01605","STANDARD","Worcester","MA","Worcester County",42.26,-71.8,22545
"01606","STANDARD","Worcester","MA","Worcester County",42.26,-71.8,18548
"01607","STANDARD","Worcester","MA","Worcester County",42.26,-71.8,7312
"01608","STANDARD","Worcester","MA","Worcester County",42.26,-71.8,2922
"01609","STANDARD","Worcester","MA","Worcester County",42.26,-71.8,14000
"01610","STANDARD","Worcester","MA","Worcester County",42.26,-71.8,15970
"01611","STANDARD","Cherry Valley","MA","Worcester County",42.23,-71.87,2098
"01612","STANDARD","Paxton","MA","Worcester County",42.31,-71.93,4406
"01701","STANDARD","Framingham","MA","Middlesex County",42.3,-71.43,30689
"01702","STANDARD","Framingham","MA","Middlesex County",42.3,-71.43,26383
"01718","STANDARD","Village Of Nagog Woods","MA","Middlesex County",42.51,-71.41,637
"01719","STANDARD","Boxborough","MA","Middlesex County",42.5,-71.5,5281
"01720","STANDARD","Acton","MA","Middlesex County",42.48,-71.46,21405
"01721","STANDARD","Ashland","MA","Middlesex County",42.25,-71.46,16229
"01730","STANDARD","Bedford","MA","Middlesex County",42.48,-71.26,13051
"01731","STANDARD","Hanscom Afb","MA","Middlesex County",42.46,-71.28,2006
"01740","STANDARD","Bolton","MA","Worcester County",42.43,-71.6,5042
"01741","STANDARD","Carlisle","MA","Middlesex County",42.53,-71.35,5131
"01742","STANDARD","Concord","MA","Middlesex County",42.45,-71.35,16261
"01745","STANDARD","Fayville","MA","Worcester County",42.29,-71.5,444
"01746","STANDARD","Holliston","MA","Middlesex County",42.2,-71.43,14194
"01747","STANDARD","Hopedale","MA","Worcester County",42.12,-71.54,6075
"01748","STANDARD","Hopkinton","MA","Middlesex County",42.22,-71.52,14901
"01749","STANDARD","Hudson","MA","Middlesex County",42.39,-71.56,18523
"01752","STANDARD","Marlborough","MA","Middlesex County",42.34,-71.54,35609
"01754","STANDARD","Maynard","MA","Middlesex County",42.42,-71.45,9794
"01756","STANDARD","Mendon","MA","Worcester County",42.1,-71.55,6084
"01757","STANDARD","Milford","MA","Worcester County",42.14,-71.51,25897
"01760","STANDARD","Natick","MA","Middlesex County",42.28,-71.35,31543
"01770","STANDARD","Sherborn","MA","Middlesex County",42.23,-71.36,4347
"01772","STANDARD","Southborough","MA","Worcester County",42.3,-71.51,9761
"01773","STANDARD","Lincoln","MA","Middlesex County",42.41,-71.3,5227
"01775","STANDARD","Stow","MA","Middlesex County",42.43,-71.5,6812
"01776","STANDARD","Sudbury","MA","Middlesex County",42.36,-71.4,18355
"01778","STANDARD","Wayland","MA","Middlesex County",42.36,-71.36,13492
"01801","STANDARD","Woburn","MA","Middlesex County",42.48,-71.15,36829
"01803","STANDARD","Burlington","MA","Middlesex County",42.5,-71.2,24400
"01810","STANDARD","Andover","MA","Essex County",42.65,-71.14,33675
"01821","STANDARD","Billerica","MA","Middlesex County",42.55,-71.26,30015
"01824","STANDARD","Chelmsford","MA","Middlesex County",42.59,-71.36,25623
"01826","STANDARD","Dracut","MA","Middlesex County",42.66,-71.3,29719
"01827","STANDARD","Dunstable","MA","Middlesex County",42.66,-71.48,3237
"01830","STANDARD","Haverhill","MA","Essex County",42.78,-71.08,22219
"01832","STANDARD","Haverhill","MA","Essex County",42.78,-71.08,20239
"01833","STANDARD","Georgetown","MA","Essex County",42.73,-70.98,8287
"01834","STANDARD","Groveland","MA","Essex County",42.75,-71.03,6706
"01835","STANDARD","Haverhill","MA","Essex County",42.78,-71.08,13364
"01840","STANDARD","Lawrence","MA","Essex County",42.7,-71.16,4066
"01841","STANDARD","Lawrence","MA","Essex County",42.7,-71.16,41533
"01843","STANDARD","Lawrence","MA","Essex County",42.7,-71.16,21957
"01844","STANDARD","Methuen","MA","Essex County",42.71,-71.18,47273
"01845","STANDARD","North Andover","MA","Essex County",42.7,-71.11,27569
"01850","STANDARD","Lowell","MA","Middlesex County",42.63,-71.32,13270
"01851","STANDARD","Lowell","MA","Middlesex County",42.63,-71.32,27683
"01852","STANDARD","Lowell","MA","Middlesex County",42.63,-71.32,29073
"01854","STANDARD","Lowell","MA","Middlesex County",42.63,-71.32,21567
"01860","STANDARD","Merrimac","MA","Essex County",42.83,-71,6442
"01862","STANDARD","North Billerica","MA","Middlesex County",42.57,-71.29,9287
"01863","STANDARD","North Chelmsford","MA","Middlesex County",42.63,-71.39,8669
"01864","STANDARD","North Reading","MA","Middlesex County",42.56,-71.06,14776
"01867","STANDARD","Reading","MA","Middlesex County",42.53,-71.1,23969
"01876","STANDARD","Tewksbury","MA","Middlesex County",42.61,-71.23,28742
"01879","STANDARD","Tyngsboro","MA","Middlesex County",42.68,-71.41,11510
"01880","STANDARD","Wakefield","MA","Middlesex County",42.5,-71.06,24429
"01886","STANDARD","Westford","MA","Middlesex County",42.58,-71.43,23099
"01887","STANDARD","Wilmington","MA","Middlesex County",42.55,-71.16,22197
"01890","STANDARD","Winchester","MA","Middlesex County",42.45,-71.14,21465
"01901","STANDARD","Lynn","MA","Essex County",42.47,-70.96,1670
"01902","STANDARD","Lynn","MA","Essex County",42.47,-70.96,37269
"01904","STANDARD","Lynn","MA","Essex County",42.47,-70.96,17997
"01905","STANDARD","Lynn","MA","Essex County",42.47,-70.96,22092
"01906","STANDARD","Saugus","MA","Essex County",42.46,-71.01,26164
"01907","STANDARD","Swampscott","MA","Essex County",42.46,-70.89,13800
"01908","STANDARD","Nahant","MA","Essex County",42.42,-70.92,3402
"01913","STANDARD","Amesbury","MA","Essex County",42.85,-70.92,15738
"01915","STANDARD","Beverly","MA","Essex County",42.55,-70.84,35074
"01921","STANDARD","Boxford","MA","Essex County",42.67,-70.98,8170
"01922","STANDARD","Byfield","MA","Essex County",42.75,-70.93,3174
"01923","STANDARD","Danvers","MA","Essex County",42.57,-70.95,25628
"01929","STANDARD","Essex","MA","Essex County",42.63,-70.77,3328
"01930","STANDARD","Gloucester","MA","Essex County",42.62,-70.66,27096
"01938","STANDARD","Ipswich","MA","Essex County",42.67,-70.83,13044
"01940","STANDARD","Lynnfield","MA","Essex County",42.53,-71.04,12214
"01944","STANDARD","Manchester","MA","Essex County",42.56,-70.76,5059
"01945","STANDARD","Marblehead","MA","Essex County",42.5,-70.85,19901
"01949","STANDARD","Middleton","MA","Essex County",42.6,-71.01,7753
"01950","STANDARD","Newburyport","MA","Essex County",42.81,-70.88,16792
"01951","STANDARD","Newbury","MA","Essex County",42.8,-71,3503
"01952","STANDARD","Salisbury","MA","Essex County",42.83,-70.84,7757
"01960","STANDARD","Peabody","MA","Essex County",42.53,-70.97,48719
"01966","STANDARD","Rockport","MA","Essex County",42.64,-70.61,6856
"01969","STANDARD","Rowley","MA","Essex County",42.71,-70.87,5872
"01970","STANDARD","Salem","MA","Essex County",42.51,-70.9,36109
"01982","STANDARD","South Hamilton","MA","Essex County",42.62,-70.86,7288
"01983","STANDARD","Topsfield","MA","Essex County",42.63,-70.95,6194
"01984","STANDARD","Wenham","MA","Essex County",42.6,-70.88,3744
"01985","STANDARD","West Newbury","MA","Essex County",42.8,-71,4364
"02019","STANDARD","Bellingham","MA","Norfolk County",42.09,-71.47,16413
"02021","STANDARD","Canton","MA","Norfolk County",42.15,-71.13,21246
"02025","STANDARD","Cohasset","MA","Norfolk County",42.23,-70.8,7558
"02026","STANDARD","Dedham","MA","Norfolk County",42.24,-71.17,22278
"02030","STANDARD","Dover","MA","Norfolk County",42.24,-71.27,5804
"02032","STANDARD","East Walpole","MA","Norfolk County",42.15,-71.21,4165
"02035","STANDARD","Foxboro","MA","Norfolk County",42.06,-71.24,16585
"02038","STANDARD","Franklin","MA","Norfolk County",42.08,-71.38,31040
"02043","STANDARD","Hingham","MA","Plymouth County",42.23,-70.88,21709
"02045","STANDARD","Hull","MA","Plymouth County",42.3,-70.9,9985
"02048","STANDARD","Mansfield","MA","Bristol County",42.02,-71.21,23282
"02050","STANDARD","Marshfield","MA","Plymouth County",42.09,-70.7,22043
"02052","STANDARD","Medfield","MA","Norfolk County",42.18,-71.3,12740
"02053","STANDARD","Medway","MA","Norfolk County",42.13,-71.4,12909
"02054","STANDARD","Millis","MA","Norfolk County",42.16,-71.35,8031
"02056","STANDARD","Norfolk","MA","Norfolk County",42.11,-71.31,9463
"02061","STANDARD","Norwell","MA","Plymouth County",42.16,-70.78,10662
"02062","STANDARD","Norwood","MA","Norfolk County",42.18,-71.19,27224
"02066","STANDARD","Scituate","MA","Plymouth County",42.18,-70.73,17040
"02067","STANDARD","Sharon","MA","Norfolk County",42.11,-71.18,18070
"02071","STANDARD","South Walpole","MA","Norfolk County",42.09,-71.27,1103
"02072","STANDARD","Stoughton","MA","Norfolk County",42.11,-71.1,26386
"02081","STANDARD","Walpole","MA","Norfolk County",42.13,-71.24,18547
"02090","STANDARD","Westwood","MA","Norfolk County",42.21,-71.21,14995
"02093","STANDARD","Wrentham","MA","Norfolk County",42.06,-71.33,10993
"02108","STANDARD","Boston","MA","Suffolk County",42.35,-71.06,3559
"02109","STANDARD","Boston","MA","Suffolk County",42.35,-71.06,4432
"02110","STANDARD","Boston","MA","Suffolk County",42.35,-71.06,4447
"02111","STANDARD","Boston","MA","Suffolk County",42.35,-71.06,4980
"02113","STANDARD","Boston","MA","Suffolk County",42.35,-71.06,4834
"02114","STANDARD","Boston","MA","Suffolk County",42.35,-71.06,8448
"02115","STANDARD","Boston","MA","Suffolk County",42.35,-71.06,10873
"02116","STANDARD","Boston","MA","Suffolk County",42.35,-71.06,14514
"02118","STANDARD","Boston","MA","Suffolk County",42.35,-71.06,19091
"02119","STANDARD","Roxbury","MA","Suffolk County",42.35,-71.06,21744
"02120","STANDARD","Roxbury Crossing","MA","Suffolk County",42.35,-71.06,8181
"02121","STANDARD","Dorchester","MA","Suffolk County",42.35,-71.06,20644
"02122","STANDARD","Dorchester","MA","Suffolk County",42.35,-71.06,19524
"02124","STANDARD","Dorchester Center","MA","Suffolk County",42.35,-71.06,40356
"02125","STANDARD","Dorchester","MA","Suffolk County",42.35,-71.06,27552
"02126","STANDARD","Mattapan","MA","Suffolk County",42.26,-71.1,22612
"02127","STANDARD","Boston","MA","Suffolk County",42.35,-71.06,26731
"02128","STANDARD","Boston","MA","Suffolk County",42.35,-71.06,31893
"02129","STANDARD","Charlestown","MA","Suffolk County",42.38,-71.06,14517
"02130","STANDARD","Jamaica Plain","MA","Suffolk County",42.3,-71.11,29936
"02131","STANDARD","Roslindale","MA","Suffolk County",42.28,-71.13,29020
"02132","STANDARD","West Roxbury","MA","Suffolk County",42.28,-71.16,23069
"02134","STANDARD","Allston","MA","Suffolk County",42.35,-71.13,12138
"02135","STANDARD","Brighton","MA","Suffolk County",42.35,-71.15,30198
"02136","STANDARD","Hyde Park","MA","Suffolk County",42.26,-71.11,27159
"02138","STANDARD","Cambridge","MA","Middlesex County",42.37,-71.11,22191
"02139","STANDARD","Cambridge","MA","Middlesex County",42.37,-71.11,27441
"02140","STANDARD","Cambridge","MA","Middlesex County",42.37,-71.11,15347
"02141","STANDARD","Cambridge","MA","Middlesex County",42.37,-71.11,8923
"02142","STANDARD","Cambridge","MA","Middlesex County",42.37,-71.11,1775
"02143","STANDARD","Somerville","MA","Middlesex County",42.39,-71.1,19971
"02144","STANDARD","Somerville","MA","Middlesex County",42.39,-71.1,19003
"02145","STANDARD","Somerville","MA","Middlesex County",42.39,-71.1,20696
"02148","STANDARD","Malden","MA","Middlesex County",42.43,-71.05,52992
"02149","STANDARD","Everett","MA","Middlesex County",42.4,-71.05,35127
"02150","STANDARD","Chelsea","MA","Suffolk County",42.39,-71.03,28166
"02151","STANDARD","Revere","MA","Suffolk County",42.41,-70.99,44530
"02152","STANDARD","Winthrop","MA","Suffolk County",42.37,-70.98,15918
"02155","STANDARD","Medford","MA","Middlesex County",42.42,-71.1,49307
"02163","STANDARD","Boston","MA","Suffolk County",42.35,-71.06,761
"02169","STANDARD","Quincy","MA","Norfolk County",42.26,-71,48745
"02170","STANDARD","Quincy","MA","Norfolk County",42.26,-71,17832
"02171","STANDARD","Quincy","MA","Norfolk County",42.26,-71,16813
"02176","STANDARD","Melrose","MA","Middlesex County",42.45,-71.05,26024
"02180","STANDARD","Stoneham","MA","Middlesex County",42.47,-71.09,21279
"02184","STANDARD","Braintree","MA","Norfolk County",42.2,-71,34210
"02186","STANDARD","Milton","MA","Norfolk County",42.24,-71.08,25733
"02188","STANDARD","Weymouth","MA","Norfolk County",42.2,-70.94,13859
"02189","STANDARD","East Weymouth","MA","Norfolk County",42.2,-70.94,13611
"02190","STANDARD","South Weymouth","MA","Norfolk County",42.2,-70.94,15470
"02191","STANDARD","North Weymouth","MA","Norfolk County",42.2,-70.94,8129
"02199","STANDARD","Boston","MA","Suffolk County",42.35,-71.06,1258
"02201","UNIQUE","Boston","MA","Suffolk County",42.35,-71.06,15
"02210","STANDARD","Boston","MA","Suffolk County",42.35,-71.06,1441
"02215","STANDARD","Boston","MA","Suffolk County",42.35,-71.06,7179
"02216","UNIQUE","Boston","MA","Suffolk County",42.34,-71.07,17
"02301","STANDARD","Brockton","MA","Plymouth County",42.08,-71.02,52333
"02302","STANDARD","Brockton","MA","Plymouth County",42.08,-71.02,30135
"02322","STANDARD","Avon","MA","Norfolk County",42.11,-71.03,4383
"02324","STANDARD","Bridgewater","MA","Plymouth County",41.98,-70.97,21785
"02325","UNIQUE","Bridgewater","MA","Plymouth County",41.98,-70.97,10
"02330","STANDARD","Carver","MA","Plymouth County",41.88,-70.76,10803
"02332","STANDARD","Duxbury","MA","Plymouth County",42.04,-70.67,13631
"02333","STANDARD","East Bridgewater","MA","Plymouth County",42.03,-70.95,13538
"02338","STANDARD","Halifax","MA","Plymouth County",41.98,-70.86,7555
"02339","STANDARD","Hanover","MA","Plymouth County",42.11,-70.81,14253
"02341","STANDARD","Hanson","MA","Plymouth County",42.06,-70.85,9718
"02343","STANDARD","Holbrook","MA","Norfolk County",42.14,-71,10525
"02346","STANDARD","Middleboro","MA","Plymouth County",41.86,-70.9,22267
"02347","STANDARD","Lakeville","MA","Plymouth County",41.85,-70.95,10452
"02351","STANDARD","Abington","MA","Plymouth County",42.11,-70.95,15718
"02356","STANDARD","North Easton","MA","Bristol County",42.05,-71.1,11774
"02357","UNIQUE","North Easton","MA","Bristol County",42.05,-71.1,14
"02359","STANDARD","Pembroke","MA","Plymouth County",42.06,-70.8,17208
"02360","STANDARD","Plymouth","MA","Plymouth County",41.95,-70.66,49630
"02364","STANDARD","Kingston","MA","Plymouth County",41.99,-70.71,12107
